date,product_name,category,units_sold,revenue,city
2024-01-01,Coding AI Agents,Books,2,1600,Mumbai
2024-01-01,Storybook,Books,10,10500,Delhi
2024-01-01,Denim Jeans,Apparel,1,1140,Hyderabad
2024-01-02,Laptop,Electronics,3,135000,Bangalore
2024-01-02,Blender,Home & Kitchen,4,4120,Hyderabad
2024-01-02,Leather Jacket,Apparel,5,2050,Chennai
2024-01-02,Coding AI Agents,Books,6,4800,Hyderabad
2024-01-02,Running Shoes,Apparel,10,1800,Delhi
2024-01-02,Smartphone,Electronics,2,30000,Kolkata
2024-01-03,Non-Stick Pan,Home & Kitchen,3,1920,Mumbai
2024-01-03,Coding AI Agents,Books,5,4000,Chennai
2024-01-03,Non-Stick Pan,Home & Kitchen,1,640,Kolkata
2024-01-03,Socks Pack,Apparel,3,2970,Chennai
2024-01-03,Bluetooth Speaker,Electronics,4,2440,Mumbai
2024-01-03,Coding AI Agents,Books,4,3200,Bangalore
2024-01-03,Financial Freedom,Books,6,2100,Delhi
2024-01-04,Business Strategy,Books,4,1720,Hyderabad
2024-01-04,Storybook,Books,1,1050,Kolkata
2024-01-04,Bluetooth Speaker,Electronics,6,3660,Chennai
2024-01-05,Non-Stick Pan,Home & Kitchen,3,1920,Hyderabad
2024-01-05,Non-Stick Pan,Home & Kitchen,2,1280,Hyderabad
2024-01-06,Bed Sheets,Home & Kitchen,5,1250,Kolkata
2024-01-06,Socks Pack,Apparel,8,7920,Delhi
2024-01-06,Bluetooth Speaker,Electronics,7,4270,Kolkata
2024-01-07,Smartphone,Electronics,5,75000,Delhi
2024-01-07,Business Strategy,Books,3,1290,Hyderabad
2024-01-07,Laptop,Electronics,11,495000,Chennai
2024-01-07,Socks Pack,Apparel,10,9900,Bangalore
2024-01-07,Financial Freedom,Books,10,3500,Chennai
2024-01-07,Leather Jacket,Apparel,8,3280,Bangalore
2024-01-07,Business Strategy,Books,1,430,Delhi
2024-01-07,Air Fryer,Home & Kitchen,10,2000,Bangalore
2024-01-08,Coffee Mug,Home & Kitchen,2,1480,Bangalore
2024-01-08,Running Shoes,Apparel,2,360,Mumbai
2024-01-08,Leather Jacket,Apparel,7,2870,Hyderabad
2024-01-08,Blender,Home & Kitchen,8,8240,Hyderabad
2024-01-09,Coding AI Agents,Books,6,4800,Bangalore
2024-01-09,Bluetooth Speaker,Electronics,3,1830,Kolkata
2024-01-09,Coffee Mug,Home & Kitchen,3,2220,Delhi
2024-01-09,Leather Jacket,Apparel,1,410,Bangalore
2024-01-09,Blender,Home & Kitchen,2,2060,Mumbai
2024-01-09,Business Strategy,Books,4,1720,Hyderabad
2024-01-10,Non-Stick Pan,Home & Kitchen,15,9600,Chennai
2024-01-11,Blender,Home & Kitchen,8,8240,Bangalore
2024-01-11,Bed Sheets,Home & Kitchen,4,1000,Hyderabad
2024-01-11,Storybook,Books,7,7350,Chennai
2024-01-12,Non-Stick Pan,Home & Kitchen,10,6400,Kolkata
2024-01-12,Financial Freedom,Books,9,3150,Bangalore
2024-01-13,Cooking Guide,Books,6,5340,Bangalore
2024-01-14,Smartphone,Electronics,4,60000,Kolkata
2024-01-14,Coding AI Agents,Books,9,7200,Kolkata
2024-01-14,Smartphone,Electronics,2,30000,Kolkata
2024-01-14,Bluetooth Speaker,Electronics,6,3660,Chennai
2024-01-15,Storybook,Books,8,8400,Hyderabad
2024-01-15,Business Strategy,Books,8,3440,Delhi
2024-01-16,Coding AI Agents,Books,10,8000,Mumbai
2024-01-16,Financial Freedom,Books,4,1400,Mumbai
2024-01-16,Denim Jeans,Apparel,8,9120,Chennai
2024-01-16,Laptop,Electronics,7,315000,Bangalore
2024-01-17,Coffee Mug,Home & Kitchen,3,2220,Delhi
2024-01-17,Cotton T-Shirt,Apparel,8,9280,Bangalore
2024-01-17,Coffee Mug,Home & Kitchen,5,3700,Mumbai
2024-01-17,Laptop,Electronics,5,225000,Chennai
2024-01-17,Denim Jeans,Apparel,1,1140,Mumbai
2024-01-17,Cooking Guide,Books,5,4450,Hyderabad
2024-01-17,Financial Freedom,Books,4,1400,Kolkata
2024-01-17,Power Bank,Electronics,4,3120,Hyderabad
2024-01-17,Blender,Home & Kitchen,6,6180,Kolkata
2024-01-18,Power Bank,Electronics,1,780,Chennai
2024-01-18,Blender,Home & Kitchen,10,10300,Hyderabad
2024-01-18,Socks Pack,Apparel,2,1980,Mumbai
2024-01-18,Leather Jacket,Apparel,6,2460,Bangalore
2024-01-18,Air Fryer,Home & Kitchen,2,400,Hyderabad
2024-01-18,Coding AI Agents,Books,6,4800,Kolkata
2024-01-19,Storybook,Books,8,8400,Bangalore
2024-01-19,Blender,Home & Kitchen,9,9270,Kolkata
2024-01-19,Socks Pack,Apparel,10,9900,Mumbai
2024-01-19,Smartphone,Electronics,5,75000,Bangalore
2024-01-20,Bed Sheets,Home & Kitchen,7,1750,Delhi
2024-01-20,Bluetooth Speaker,Electronics,3,1830,Hyderabad
2024-01-20,Leather Jacket,Apparel,7,2870,Kolkata
2024-01-21,Non-Stick Pan,Home & Kitchen,9,5760,Kolkata
2024-01-21,Blender,Home & Kitchen,6,6180,Delhi
2024-01-21,Coffee Mug,Home & Kitchen,6,4440,Kolkata
2024-01-21,Blender,Home & Kitchen,2,2060,Delhi
2024-01-21,Cotton T-Shirt,Apparel,3,3480,Mumbai
2024-01-21,Bed Sheets,Home & Kitchen,4,1000,Chennai
2024-01-22,Business Strategy,Books,8,3440,Kolkata
2024-01-23,Cotton T-Shirt,Apparel,3,3480,Delhi
2024-01-24,Socks Pack,Apparel,8,7920,Bangalore
2024-01-24,Leather Jacket,Apparel,5,2050,Chennai
2024-01-25,Blender,Home & Kitchen,2,2060,Mumbai
2024-01-25,Smart Watch,Electronics,5,3000,Delhi
2024-01-25,Leather Jacket,Apparel,11,4510,Chennai
2024-01-25,Bed Sheets,Home & Kitchen,3,750,Delhi
2024-01-25,Power Bank,Electronics,7,5460,Bangalore
2024-01-25,Cotton T-Shirt,Apparel,10,11600,Mumbai
2024-01-26,Business Strategy,Books,8,3440,Bangalore
2024-01-26,Smart Watch,Electronics,3,1800,Bangalore
2024-01-26,Non-Stick Pan,Home & Kitchen,8,5120,Chennai
2024-01-27,Cooking Guide,Books,8,7120,Chennai
2024-01-27,Cotton T-Shirt,Apparel,8,9280,Bangalore
2024-01-28,Bed Sheets,Home & Kitchen,1,250,Mumbai
2024-01-28,Running Shoes,Apparel,8,1440,Kolkata
2024-01-28,Bed Sheets,Home & Kitchen,12,3000,Chennai
2024-01-28,Smartphone,Electronics,10,150000,Delhi
2024-01-29,Financial Freedom,Books,10,3500,Delhi
2024-01-29,Cotton T-Shirt,Apparel,10,11600,Kolkata
2024-01-30,Coding AI Agents,Books,1,800,Kolkata
2024-01-30,Bed Sheets,Home & Kitchen,2,500,Kolkata
2024-01-30,Cooking Guide,Books,3,2670,Delhi
2024-01-30,Power Bank,Electronics,10,7800,Hyderabad
2024-01-31,Socks Pack,Apparel,10,9900,Kolkata
2024-02-01,Running Shoes,Apparel,3,540,Mumbai
2024-02-01,Business Strategy,Books,3,1290,Mumbai
2024-02-01,Cotton T-Shirt,Apparel,7,8120,Hyderabad
2024-02-01,Non-Stick Pan,Home & Kitchen,3,1920,Hyderabad
2024-02-01,Socks Pack,Apparel,7,6930,Chennai
2024-02-01,Cooking Guide,Books,11,9790,Chennai
2024-02-02,Storybook,Books,1,1050,Bangalore
2024-02-02,Laptop,Electronics,4,180000,Mumbai
2024-02-03,Coding AI Agents,Books,1,800,Hyderabad
2024-02-03,Leather Jacket,Apparel,6,2460,Hyderabad
2024-02-03,Power Bank,Electronics,6,4680,Hyderabad
2024-02-03,Socks Pack,Apparel,2,1980,Hyderabad
2024-02-04,Running Shoes,Apparel,2,360,Bangalore
2024-02-04,Business Strategy,Books,1,430,Delhi
2024-02-04,Air Fryer,Home & Kitchen,1,200,Delhi
2024-02-04,Non-Stick Pan,Home & Kitchen,5,3200,Bangalore
2024-02-04,Air Fryer,Home & Kitchen,8,1600,Chennai
2024-02-04,Coding AI Agents,Books,1,800,Bangalore
2024-02-06,Cotton T-Shirt,Apparel,3,3480,Delhi
2024-02-06,Coffee Mug,Home & Kitchen,7,5180,Mumbai
2024-02-06,Cotton T-Shirt,Apparel,2,2320,Mumbai
2024-02-07,Cooking Guide,Books,4,3560,Chennai
2024-02-07,Air Fryer,Home & Kitchen,3,600,Kolkata
2024-02-07,Storybook,Books,2,2100,Delhi
2024-02-07,Power Bank,Electronics,6,4680,Kolkata
2024-02-08,Coffee Mug,Home & Kitchen,5,3700,Hyderabad
2024-02-08,Blender,Home & Kitchen,3,3090,Mumbai
2024-02-08,Storybook,Books,3,3150,Chennai
2024-02-08,Cotton T-Shirt,Apparel,5,5800,Bangalore
2024-02-09,Bed Sheets,Home & Kitchen,5,1250,Chennai
2024-02-09,Running Shoes,Apparel,4,720,Mumbai
2024-02-09,Storybook,Books,7,7350,Bangalore
2024-02-09,Smart Watch,Electronics,3,1800,Bangalore
2024-02-09,Laptop,Electronics,4,180000,Mumbai
2024-02-10,Power Bank,Electronics,5,3900,Kolkata
2024-02-10,Storybook,Books,4,4200,Chennai
2024-02-11,Blender,Home & Kitchen,2,2060,Hyderabad
2024-02-11,Laptop,Electronics,3,135000,Hyderabad
2024-02-11,Cotton T-Shirt,Apparel,6,6960,Hyderabad
2024-02-11,Air Fryer,Home & Kitchen,2,400,Hyderabad
2024-02-12,Cooking Guide,Books,6,5340,Kolkata
2024-02-12,Denim Jeans,Apparel,6,6840,Bangalore
2024-02-13,Business Strategy,Books,6,2580,Kolkata
2024-02-14,Cooking Guide,Books,3,2670,Mumbai
2024-02-14,Blender,Home & Kitchen,6,6180,Mumbai
2024-02-15,Financial Freedom,Books,4,1400,Chennai
2024-02-15,Bluetooth Speaker,Electronics,9,5490,Chennai
2024-02-15,Laptop,Electronics,6,270000,Mumbai
2024-02-15,Coding AI Agents,Books,7,5600,Bangalore
2024-02-15,Financial Freedom,Books,7,2450,Mumbai
2024-02-15,Coffee Mug,Home & Kitchen,5,3700,Mumbai
2024-02-15,Cotton T-Shirt,Apparel,1,1160,Mumbai
2024-02-16,Bluetooth Speaker,Electronics,5,3050,Bangalore
2024-02-16,Air Fryer,Home & Kitchen,3,600,Chennai
2024-02-16,Smart Watch,Electronics,7,4200,Mumbai
2024-02-16,Running Shoes,Apparel,5,900,Bangalore
2024-02-17,Smart Watch,Electronics,6,3600,Delhi
2024-02-17,Storybook,Books,3,3150,Mumbai
2024-02-18,Coding AI Agents,Books,3,2400,Mumbai
2024-02-18,Business Strategy,Books,1,430,Delhi
2024-02-18,Cooking Guide,Books,3,2670,Delhi
2024-02-19,Non-Stick Pan,Home & Kitchen,3,1920,Bangalore
2024-02-19,Coding AI Agents,Books,3,2400,Chennai
2024-02-20,Cotton T-Shirt,Apparel,3,3480,Hyderabad
2024-02-20,Running Shoes,Apparel,1,180,Mumbai
2024-02-20,Laptop,Electronics,3,135000,Bangalore
2024-02-20,Denim Jeans,Apparel,7,7980,Chennai
2024-02-21,Bluetooth Speaker,Electronics,3,1830,Bangalore
2024-02-21,Coding AI Agents,Books,6,4800,Chennai
2024-02-21,Smart Watch,Electronics,3,1800,Delhi
2024-02-22,Financial Freedom,Books,3,1050,Bangalore
2024-02-22,Bed Sheets,Home & Kitchen,2,500,Mumbai
2024-02-22,Smart Watch,Electronics,4,2400,Bangalore
2024-02-22,Air Fryer,Home & Kitchen,1,200,Kolkata
2024-02-22,Power Bank,Electronics,1,780,Mumbai
2024-02-22,Cotton T-Shirt,Apparel,5,5800,Hyderabad
2024-02-22,Laptop,Electronics,10,450000,Chennai
2024-02-23,Leather Jacket,Apparel,6,2460,Kolkata
2024-02-23,Financial Freedom,Books,1,350,Bangalore
2024-02-24,Bed Sheets,Home & Kitchen,6,1500,Chennai
2024-02-24,Non-Stick Pan,Home & Kitchen,5,3200,Hyderabad
2024-02-24,Air Fryer,Home & Kitchen,1,200,Delhi
2024-02-25,Laptop,Electronics,9,405000,Chennai
2024-02-25,Blender,Home & Kitchen,1,1030,Mumbai
2024-02-25,Bluetooth Speaker,Electronics,2,1220,Mumbai
2024-02-25,Blender,Home & Kitchen,3,3090,Delhi
2024-02-26,Smartphone,Electronics,3,45000,Kolkata
2024-02-26,Power Bank,Electronics,1,780,Kolkata
2024-02-26,Financial Freedom,Books,7,2450,Mumbai
2024-02-27,Denim Jeans,Apparel,3,3420,Bangalore
2024-02-27,Cooking Guide,Books,8,7120,Chennai
2024-02-27,Denim Jeans,Apparel,5,5700,Delhi
2024-02-28,Air Fryer,Home & Kitchen,3,600,Bangalore
2024-02-29,Leather Jacket,Apparel,5,2050,Kolkata
2024-02-29,Air Fryer,Home & Kitchen,6,1200,Delhi
2024-02-29,Storybook,Books,4,4200,Bangalore
2024-03-01,Cotton T-Shirt,Apparel,9,10440,Kolkata
2024-03-01,Smart Watch,Electronics,1,600,Hyderabad
2024-03-01,Non-Stick Pan,Home & Kitchen,1,640,Bangalore
2024-03-01,Socks Pack,Apparel,7,6930,Bangalore
2024-03-01,Denim Jeans,Apparel,5,5700,Chennai
2024-03-02,Laptop,Electronics,3,135000,Hyderabad
2024-03-02,Business Strategy,Books,4,1720,Kolkata
2024-03-03,Leather Jacket,Apparel,4,1640,Kolkata
2024-03-03,Bed Sheets,Home & Kitchen,3,750,Mumbai
2024-03-03,Bluetooth Speaker,Electronics,2,1220,Hyderabad
2024-03-03,Air Fryer,Home & Kitchen,9,1800,Mumbai
2024-03-03,Blender,Home & Kitchen,15,15450,Chennai
2024-03-03,Laptop,Electronics,5,225000,Chennai
2024-03-04,Laptop,Electronics,1,45000,Mumbai
2024-03-04,Non-Stick Pan,Home & Kitchen,10,6400,Chennai
2024-03-04,Socks Pack,Apparel,2,1980,Mumbai
2024-03-04,Business Strategy,Books,5,2150,Bangalore
2024-03-05,Running Shoes,Apparel,4,720,Hyderabad
2024-03-05,Cotton T-Shirt,Apparel,10,11600,Kolkata
2024-03-06,Power Bank,Electronics,10,7800,Hyderabad
2024-03-06,Financial Freedom,Books,9,3150,Bangalore
2024-03-06,Non-Stick Pan,Home & Kitchen,6,3840,Chennai
2024-03-06,Running Shoes,Apparel,10,1800,Chennai
2024-03-07,Coding AI Agents,Books,9,7200,Mumbai
2024-03-07,Coding AI Agents,Books,4,3200,Delhi
2024-03-08,Socks Pack,Apparel,4,3960,Bangalore
2024-03-08,Socks Pack,Apparel,7,6930,Hyderabad
2024-03-09,Running Shoes,Apparel,3,540,Hyderabad
2024-03-09,Smartphone,Electronics,1,15000,Hyderabad
2024-03-09,Leather Jacket,Apparel,9,3690,Bangalore
2024-03-10,Bed Sheets,Home & Kitchen,10,2500,Bangalore
2024-03-10,Financial Freedom,Books,9,3150,Chennai
2024-03-11,Socks Pack,Apparel,8,7920,Chennai
2024-03-11,Power Bank,Electronics,3,2340,Kolkata
2024-03-11,Air Fryer,Home & Kitchen,10,2000,Delhi
2024-03-11,Laptop,Electronics,6,270000,Bangalore
2024-03-12,Smartphone,Electronics,2,30000,Delhi
2024-03-12,Cotton T-Shirt,Apparel,4,4640,Chennai
2024-03-12,Financial Freedom,Books,7,2450,Bangalore
2024-03-13,Coffee Mug,Home & Kitchen,10,7400,Delhi
2024-03-14,Coffee Mug,Home & Kitchen,7,5180,Kolkata
2024-03-14,Storybook,Books,13,13650,Chennai
2024-03-14,Blender,Home & Kitchen,10,10300,Chennai
2024-03-15,Non-Stick Pan,Home & Kitchen,6,3840,Kolkata
2024-03-17,Cotton T-Shirt,Apparel,15,17400,Chennai
2024-03-17,Leather Jacket,Apparel,10,4100,Hyderabad
2024-03-18,Power Bank,Electronics,9,7020,Kolkata
2024-03-19,Air Fryer,Home & Kitchen,6,1200,Kolkata
2024-03-19,Cotton T-Shirt,Apparel,8,9280,Chennai
2024-03-19,Socks Pack,Apparel,7,6930,Delhi
2024-03-19,Non-Stick Pan,Home & Kitchen,10,6400,Chennai
2024-03-19,Smartphone,Electronics,8,120000,Bangalore
2024-03-19,Power Bank,Electronics,9,7020,Hyderabad
2024-03-19,Socks Pack,Apparel,1,990,Mumbai
2024-03-20,Financial Freedom,Books,10,3500,Bangalore
2024-03-20,Coffee Mug,Home & Kitchen,3,2220,Mumbai
2024-03-20,Smart Watch,Electronics,3,1800,Bangalore
2024-03-20,Storybook,Books,7,7350,Mumbai
2024-03-21,Financial Freedom,Books,10,3500,Bangalore
2024-03-21,Blender,Home & Kitchen,9,9270,Mumbai
2024-03-21,Storybook,Books,6,6300,Kolkata
2024-03-21,Socks Pack,Apparel,8,7920,Bangalore
2024-03-22,Blender,Home & Kitchen,9,9270,Mumbai
2024-03-22,Business Strategy,Books,9,3870,Bangalore
2024-03-22,Power Bank,Electronics,2,1560,Mumbai
2024-03-22,Coding AI Agents,Books,3,2400,Kolkata
2024-03-22,Power Bank,Electronics,5,3900,Bangalore
2024-03-23,Coding AI Agents,Books,6,4800,Bangalore
2024-03-23,Cotton T-Shirt,Apparel,6,6960,Kolkata
2024-03-23,Coffee Mug,Home & Kitchen,10,7400,Delhi
2024-03-24,Cotton T-Shirt,Apparel,7,8120,Delhi
2024-03-24,Cooking Guide,Books,5,4450,Kolkata
2024-03-24,Denim Jeans,Apparel,9,10260,Chennai
2024-03-24,Power Bank,Electronics,9,7020,Mumbai
2024-03-25,Storybook,Books,4,4200,Mumbai
2024-03-26,Denim Jeans,Apparel,10,11400,Mumbai
2024-03-26,Cooking Guide,Books,1,890,Hyderabad
2024-03-26,Air Fryer,Home & Kitchen,8,1600,Chennai
2024-03-26,Laptop,Electronics,1,45000,Bangalore
2024-03-27,Financial Freedom,Books,3,1050,Hyderabad
2024-03-27,Running Shoes,Apparel,8,1440,Hyderabad
2024-03-27,Coding AI Agents,Books,6,4800,Hyderabad
2024-03-27,Cooking Guide,Books,1,890,Delhi
2024-03-27,Coffee Mug,Home & Kitchen,3,2220,Kolkata
2024-03-28,Coffee Mug,Home & Kitchen,5,3700,Bangalore
2024-03-28,Socks Pack,Apparel,7,6930,Mumbai
2024-03-29,Denim Jeans,Apparel,5,5700,Chennai
2024-03-29,Denim Jeans,Apparel,7,7980,Delhi
2024-03-30,Socks Pack,Apparel,9,8910,Hyderabad
2024-03-30,Cooking Guide,Books,2,1780,Chennai
2024-03-31,Smartphone,Electronics,7,105000,Bangalore
